,Title,Author,Category,Subcategory,Sub-Subcategory,Sub-Sub-Subcategory,Pages,Cover Type,Production_Year,ISBN,Translator,Format,Availability,Price,Description
0,100 малих історій про великі правди,П'єр Лефевр,Художня література,Притчі та оповідання,,,214,тверда,2016,978-966-395-944-3,з франц. Ірина Дух,135х210,Є в наявності,220.00грн.,"Пропонуємо короткі історії для спокійного неквапливого читання, завдяки яким автор прагне в легкий та доступний спосіб показати красу і користь Божих заповідей, а також спонукає читача у їхньому світлі поміркувати над власним життям та заохочує віднайти їх у власному серці. Автор переконаний, що вже від народження заповіді вписані у серці кожної людини її Творцем."
1,100 улюблених біблійних історій,,Для дітей,Молодший шкільний вік,,,192,тверда,2016,978-966-395-584-1,,165х190,Є в наявності,350.00грн.,"""100 улюблених біблійних історій"" - вибрані тексти зі Святого Письма для наймолодших, викладені просто і доступно. Ця книжка - чудове відкриття прекрасного Божого світу для дитини та її рідних. Повноколірне видання з чудовими барвистими ілюстраціями, весело розповість дітям про серйозні речі."
2,"12 неправд, які чоловіки говорять дружинам",Тім і Шейла Рітери,Сім'я та виховання,"Подружжя, сім'я та стосунки",,,200,м'яка,2013,976-966-395-589-6,Тарас Різун,145х200,Є в наявності,190.00грн.,"Подружжя може розвиватися тільки тоді, коли існує у правдивому й інтимному зв’язку. То чому ж чоловіки часом відчувають потребу ошукувати, приховувати правду або просто брехати дружинам? Автори цієї книжки аналізують дванадцять найпоширеніших неправд і пояснюють, що насправді чоловіки хотіли б сказати. Чоловіки, читаючи цю книжку, відчують полегшення, коли переконаються, що автори розуміють їхні переживання й досвід. А дружини, поза сумнівом, будуть раді довідатися, що насправді відбувається у серцях і головах їхніх чоловіків. Книжка містить спеціяльний путівник, який знадобиться для роздумів на самоті або обговорень у групі."
3,150 думок митрополита Андрея Шептицького,,Святі і визначні постаті,Постаті,,,142,твердий,2015,978-966-395-871-2,,130х200,Є в наявності,220.00грн.,"""150 думок митрополита Андрея Шептицького"" - це збірка богословських роздумів Отця і Глави Української Греко-Католицької Церкви (1900-1944рр.) на церковно-суспільну тематику. Ці роздуми - фрагменти з його пастирських послань, декретів, проповідей і наукових праць. Вони стануть своєрідним щоденним порадником на різні випадки життя. Їх можна читати цілісно або вибірково. Без перебільшення, кожне слово Митрополита, попри простоту його викладу, - актуальне, кожна думка - влучна і доречна на всілякі потреби і проблемні питання.""Був він великим сином Вселенської Католицької Церкви. Великим Українцем, вченим, мистецтвознавцем, покірним богомольцем і Митрополитом, рівного якому нелегко знайти не лише в нашій історії, але й загалом в останньому столітті нашої Церкви. В кожній ділянці чинний і письмом, і словом, і ділом, буквально до останнього віддиху життя. Словом, був він честю і окрасою нашої Церкви і Народу"".(Із Прощального слова Патріярха Йосифа (Сліпого), виголошеного на похороні Слуги Божого Митрополита Андрея Шептицького, Львів, 5 листопада 1944 р. Б.)"
4,16 кроків до зрілості,Джимі Ріці,Для молоді,,,,152,м'яка,2013,978-966-395-568-1,Тарас Різун,145х200,Є в наявності,120.00грн.,"Стати дорослим - це найважливіше завдання, яке стоїть перед підлітками і молоддю. Однак воно не реалізується само собою, автоматично.
Тіло росте, набуває форм дорослої людини, але не завжди цей процес супроводжується дозрівання особистості. Щоб справді подорослішати, потрібно набути певних рис, прикмет, які перетворюють молоду людину на дорослого та дають їй змогу долати різноманітні труднощі, що виникають у реальному житті. Ця книжечка допомагає зрозуміти, про які саме риси йдеться та в чому вони полягають, тобто вказує підліткам певні орієнтири на шляху до дорослості."
5,365 коротких історій для душі,Бруно Ферреро,Художня література,Притчі та оповідання,,,456,тверда,2016,978-966-395-575-9,,135х210,Є в наявності,390.00грн.,"У цій книжці зібрано короткі, але такі милі нашому серцю історії на кожен день. Ці оповідання — наче промінчик сонця, що освітлює і зігріває душу. Досить уважно прочитати, замислитися і можна побачити, як над нами відкривається небо. Тоді стає так легко жити, і з'являються сили, щоб змінити на краще себе і весь світ довкола."
6,365 притч на щодень,,Художня література,Притчі та оповідання,,,336,тверда,2016,978-966-395-670-1,з рос. Остапа Гладкого,135х210,Є в наявності,350.00грн.,"Кожен день несе людині нові запитання, відповіді на які вона шукає у молитві, у вчинках та подіях, на сторінках газет та у живому спілкуванні. Часто відповіді чекають нас на сторінках книжок, де мудрість і досвід стають єдиним цілим. Притчі мають давню історію. Христос промовляв до людей притчами, і вони збагачувалися Божою мудрістю, слухаючи їх. Перечитуючи притчі, ми згадуємо ті важливі речі, про які уже почали забувати. Розповідаючи їх іншим, можемо донести комусь думку, яку не змогли пояснити звичайними словами. “365 притч на щодень”– це 365 відповідей на питання про добро і зло, про віру і зневіру, про любов і образу, про ті скарби, які заховані у кожній людині та про ключі, які допоможуть іншим ті скарби відкрити."
7,7 Різдвяних історій,Бруно Ферреро,Для дітей,Молодший шкільний вік,,,16,м'яка,2021,978-966-395-788-3,Тарас Різун,205х290,Є в наявності,80.00грн.,Ця книга містить цікаві різдвяні історії для діток від відомого італійського автора Бруно Ферреро.
8,Акафісник. Книга 1,,Богослужбові книги,Молитовники та акафісники,,,340,тверда,2015,978-966-395-127-0,,125x175,Є в наявності,230.00грн.,"Книга 1 піснеспіву: Богові Отцеві, Христові-Спасителю, святому Духові, Страстям Христовим, Успенню Богоматері, Йоану Предтечі, Йоану Богослову, Пресвятій Тройці, Всецариці, за покійного..."
9,Акафісник. Книга 2,,,,,,376,тверда,2015,978-966-395-282-6,о. Назар Заторський,125х175,Є в наявності,230.00грн.,"Книга 2 піснеспіву містить акафісти: Пресвятій і Єдиносущній Тройці, живоносному Гробу і Воскресінню Ісуса Христа, до чесного і животворного Хреста, Покрову Пресвятої Богородиці, Успенню Пресвятої Богородиці, Петру і Павлу, великомучениці Варварі, пророку Іллі, всім святим, за усопших тощо."
10,Акафіст до Христових страстей,,Богослужбові книги,Молитовники та акафісники,,,24,м'яка,2016,,,100х140,Є в наявності,30.00грн.,"Богослужіння в період Великого Посту. Друге видання, виправлене."
11,Акафіст за померлого,,Богослужбові книги,Молитовники та акафісники,,,32,м'яка,2016,978-966-561-339-8,,100х140,Є в наявності,30.00грн.,"Молитва за померлого є не лише обов'язком кожного християнина, а й великою чеснотою, що зворушує душу людини, відволікає від минущого та спонукає її роздумувати про божественне. Молитовне заступництво за покійну душу є виконанням заповіді любови, а святість цієї молитви як посередниці між Богом і людиною полягає у її високому призначенні - спасенні померлих через живих."
12,Ангел Хоронитель. Молитовник для дітей 5-9 років (Електронна книга: PDF),,Електронні та аудіокниги,,,,96,,2015,978-966-8744-91-4,,pdf,Є в наявності,30.00грн.,"Перед замовленням авторизуйтесяЗ цим молитовником вашій дитині буде легше навчитися молитися. А молитва, як говорив о. Юзеф Августин, це єдиний захист, який ми можемо дати своїй дитині у сучасному світі."
13,Ангел Хоронитель. Молитовник для дітей 5-9 років.,,,,,,96,тверда,2015,978-966-8744-91-4,,110х140,Є в наявності,140.00грн.,"З цим молитовником вашій дитині буде легше навчитися молитися. А молитва, як говорив о. Юзеф Августин, це єдиний захист, який ми можемо дати своїй дитині у сучасному світі."
14,Ангели - вісники світла,Тембаль Ніколь,"Віра, практичне християнство",Наша віра,,,208,м'яка,2013,978-966-395-710-4,Тарас Різун,130х200,Є в наявності,190.00грн.,"Віримо ми чи не віримо у реальність та призначення ангелів — вони завжди поруч. Ангели чувають над нами, пробуджують у наших душах пориви й бажання, за їхнім посередництвом пізнаємо красу споглядання, молитви та Божого замислу.

Авторка книжки “Ангели — вісники світла”, за допомогою творів мистецтва, допоможе зрозуміти, чому Бог створив Ангелів і яку важливу роль у їхньому призначенні відіграють крила, розповість про те, як ангели втішають і закликають до дії, про їхню участь у Святій Літургії та об'явленнях.

Святий Августин говорив: ""Якби ви знали красу ангелів, ви були б нею зачаровані"". Власне для того і написана ця книжка — щоби пізнати і бути зачарованим."
